Date,Weight,Calories,Fat (g),Protein (g),Carbohydrates (g),Exercise Calories,Steps,Over/Under Cal Budget,Calories by Breakfast (%),Calories by Lunch (%),Calories by Dinner (%),Calories by Snacks (%)
7/3/2014,222,2649,78.83,116.25,341.33,273.856,6326,-32.254,18.5,43.9,30.3,7.2
7/4/2014,222,1653,54.45,56.49,175.13,6,162,689.69,39.5,0,39.3,21.2
7/5/2014,222,2337,99.47,99.17,184.3,24,590,5.33,36.1,63.9,0,0
7/6/2014,221.8,2773,106.15,116.03,282.1,273.856,6654,-157.044,23.6,0,67,9.4
7/7/2014,221.3,2476,90.93,78.93,302.21,237.148,5511,99.638,9.3,30,0,60.6
7/8/2014,221,2279,65.05,52.19,346.82,260.283,6206,317.963,10.1,37.5,0,52.3
7/9/2014,221,2253,87.45,66.55,262.66,210.512,5603,294.382,10.3,34.2,38.9,16.6
7/10/2014,220.4,2487,99.51,91.32,251.48,341.154,8206,187.764,9.3,26.9,45.3,18.5
7/11/2014,220.6,2831,104.95,83.69,352.13,341,7867,-156.51,8.2,43.2,0,48.6
7/12/2014,219.8,2486,71.55,79.65,354.07,330,505,-156.2,25.5,42.1,0,32.5
7/13/2014,221.2,3454,138.38,87.87,420.76,19,603,-1117.04,17.8,0,61,21.2
7/14/2014,221.6,2554,96.57,70.96,304.81,237.469,5817,23.249,7.5,39.5,20,33
7/15/2014,220.2,2457,66.63,78.07,383.33,288.406,6717,163.076,1.6,42.9,0,55.4
7/16/2014,219,2176,83.01,60.95,281.91,234.683,5516,382.473,10.6,35.8,22.1,31.5
7/17/2014,219.6,1722,65.08,70.2,181.46,339.915,8053,945.555,15.7,70.8,0,13.4
7/18/2014,218.4,2284,73.21,99.4,295.8,234.04,5681,270.05,8.4,40.2,40.7,10.7
7/19/2014,220.6,2754,122.58,58.49,310.84,105.066,2323,-315.874,48.8,16,17.4,17.8
7/20/2014,219,2427,76.3,126.66,280.9,105.066,2083,1.376,9.5,57.9,0,32.6
7/21/2014,219.4,1796,55.39,69.71,206.79,235.112,5210,764.942,12.9,31,43.2,12.9
7/22/2014,218.2,2236,76.63,52.19,315.51,285.787,6655,368.057,8.6,45.9,35.2,10.3
7/23/2014,218.4,2212,70.11,87.3,283.08,312.053,7389,419.773,10.4,25.8,47,6.8
7/24/2014,219.6,2698,110.26,100.51,306.52,287.621,6916,-82.579,7.1,26.4,65.1,1.5
7/25/2014,220.6,2474,105.41,59.96,319.94,287.621,7100,147.861,7.3,31.5,49,11.8
7/26/2014,219,2445,126.3,106.6,198.5,24,642,-121.38,17.3,49.6,24.5,8.6
7/27/2014,219.2,1438,50.94,34.74,190.95,26,645,887.28,16.1,25.4,56.5,0
7/28/2014,218.4,1859,78.02,48.3,221.23,312.053,7678,773.213,2.1,54.8,38.8,4.3
7/29/2014,219.8,2363,82.4,66.51,341.25,314.054,7609,280.014,11.4,52.1,22,14.5
7/30/2014,219.6,2663,90.4,111.13,335.73,287.621,6442,-47.389,8.7,39.2,52.1,0
7/31/2014,220.2,1104,41.24,54.61,115.73,287.621,6813,1514.851,17.3,60.1,19,3.6
8/1/2014,218.8,3005,120.28,112.97,338.58,260.521,6559,-421.919,6.4,33.1,53.6,7
8/2/2014,219.2,1838,77.05,67.17,184.37,27,668,486.83,23,0,77,0
8/3/2014,219.4,1833,53.07,92.51,206.78,78.371,2418,571.6206,25.2,0,74.8,0
8/4/2014,219,2012,61.25,103.19,251.06,234.683,5628,546.213,11.5,52.7,35.8,0
8/5/2014,218.6,2201,62.28,52.83,355.76,286.311,6567,406.731,8.7,57.3,34.1,0
8/6/2014,218.6,1981,66.14,80.03,235.51,338.367,7922,677.877,9.7,9.4,69.3,11.7
8/7/2014,217.8,2568,51.44,72.83,253.91,337.129,7799,85.709,9,35.1,55.8,0
8/8/2014,219,2181,65.14,53.83,264.05,260.759,6427,403.379,10.6,41.6,42.3,5.5
8/9/2014,219.4,2381,115.81,76.86,228.95,25,623,-55.04,17.7,0,82.3,0
8/10/2014,219.8,2172,68.18,8.77,250.56,70,686,157.17,0,0,53.3,46.7
8/11/2014,220.4,3011,128.08,62.9,388.5,341.154,7737,-336.176,2.6,24.4,63.5,9.5
8/12/2014,218.6,3499,97.65,88.33,294.21,338.367,8298,-839.303,5.5,29.5,54.6,10.4
8/13/2014,220.4,2481,98.01,78.05,329.63,183.698,4333,36.428,9.3,42,40.2,8.5
8/14/2014,219.4,2184,87.68,61.84,264.03,261.235,6340,402.925,8.8,35,48.6,7.6
8/15/2014,219.6,3316,144.54,126.17,666.9,365.729,8914,-622.881,7,28.2,32.6,32.3
8/16/2014,218.6,1809,85.55,63.96,163.96,390.424,8919,902.514,12.8,0,87.2,0
8/17/2014,217.2,2224,47.32,75.7,172.84,25,635,87.62,27.6,0,72.4,0
8/18/2014,217.6,2327,34.8,70.43,232.98,285.001,6750,272.881,8.2,29.7,53.2,9
8/19/2014,217.4,2764,72.9,72.81,412.81,285.001,6577,-166.679,8.4,34.3,20,37.3
8/20/2014,218.4,2033,73.28,91.6,224.06,338.058,8043,624.578,11.4,45.7,27.6,15.3
8/21/2014,217.6,1695,55.98,58.96,202.48,259.092,6150,878.812,13.6,0,75.1,11.3
8/22/2014,216.2,1107,45.8,48.16,123.42,266,6319,1198.32,17.3,0,82.7,0
8/23/2014,215,2652,115.55,86.56,283.46,204.797,5021,-149.763,15.9,0,72.8,11.3
8/24/2014,215.2,2665,114.25,95.63,250.59,18,473,-366.55,25.2,0,66.1,8.7
8/25/2014,218.6,1487,32.82,55.54,181.66,546.594,12908,1380.384,12.9,0,52.9,34.2
8/26/2014,217,2515,89.81,71.37,333.57,335.891,7968,132.371,9.2,48.3,41,1.6
8/27/2014,217.5,3366,68.39,68.94,507.84,284.87,6984,-766.71,5.7,26,56.4,11.9
8/28/2014,217.6,2334,70.51,80.97,342.71,259.092,6835,239.152,1.7,40.7,57.6,0
8/29/2014,217,2609,106.78,76.44,319.11,284.215,6711,-13.765,9.5,39.9,47.5,3.1
8/30/2014,217.8,2286,63.7,34.08,278.31,28,686,29.44,46,38.5,0,15.5
8/31/2014,217.8,4228,188.48,146.55,481.28,63,1538,-1912.03,21.2,5.3,37.6,36
9/1/2014,219.6,2348,84.62,58.35,263.02,52.295,1039,31.9447,44.3,37.5,0,17.7
9/2/2014,219.8,4068,129.49,110.13,289.17,287.883,6903,-1450.727,20.2,27,45.2,7.6
9/3/2014,219,2074,76.57,64.35,292.38,312.911,7257,563.201,1.9,50.2,35.2,12.6
9/4/2014,220,2448,106.49,125.13,224.17,392.924,9392,275.624,3.2,42.5,26,28.2
9/5/2014,218.6,2336,72.52,107.91,314.08,286.311,6825,271.221,1.7,40.6,57.7,0
9/6/2014,219.6,2401,59.98,28.94,86.64,235.326,5596,161.876,0,41.6,58.4,0
9/7/2014,220.5,2381,43.66,36.11,318.48,131.272,3368,84.542,25.6,74.4,0,0
9/8/2014,,1297,133.81,34.69,160.38,185,4400,1036.65,37,0,26.8,26.2
9/9/2014,,2500,109.6,111.27,505.18,183.781,4415,17.661,11.8,54.5,33.7,0
9/10/2014,,2040,86.16,71.11,256.48,1588.4,8597,1883.01,28.5,71.5,0,0
9/11/2014,,1783,75.64,62.8,225.89,86,2041,550.47,32.5,49.9,17.5,0
9/12/2014,,1637,74.94,112.77,123.9,93,2223,696.48,2.4,67.4,30.2,0
9/13/2014,,3461,10.91,57.15,238.25,1575.27,11429,447.5,9.6,26.8,57.8,5.8
9/14/2014,,2145,65.95,100.69,293.15,117,2762,188.8,14,0,86,0
9/15/2014,219.2,3061,158.1,89.7,306.99,469.795,11038,-265.965,2.6,18,71.9,7.6
9/16/2014,218.4,2243,88.1,72.09,277.37,364.062,8637,441.632,1.8,36,29.9,32.3
9/17/2014,219,2510,90.37,69.67,337.09,286.835,6481,101.095,7.8,36.6,25.5,30.3
9/18/2014,220,2418,73.2,84.29,329.36,286.835,6926,198.955,9.6,38.8,42.5,9.1
9/19/2014,220.8,1580,43.99,38.6,257.43,157.741,3812,912.011,12.1,54.6,24,9.3
9/20/2014,220,2064,42.19,47.32,98.38,683.546,16509,955.396,68.2,0,31.8,0
9/21/2014,219.2,2462,62.42,73.06,156.19,578.385,13531,451.745,65.1,0,34.9,0
9/22/2014,217.6,2745,129.54,89.78,293.64,233.183,5128,-197.797,13.9,39.9,29.9,16.4
9/23/2014,218.6,2414,77.04,56.16,354.95,312.339,7316,219.089,9.6,41.7,0,48.7
9/24/2014,218.6,1991,63.48,46.16,298.21,312.339,7519,642.169,11.6,39.7,48.7,0
9/25/2014,217.8,1254,35.75,45.63,134.51,368,8768,1061.57,15.2,59.2,0,25.5
9/26/2014,217.9,1894,68.22,94.59,212.83,259.449,6429,681.449,10.1,52.5,30,7.4
9/27/2014,217.4,939,15.06,45.16,155.16,809.829,19151,2184.625,20.4,19.7,59.9,0
9/28/2014,217,1263,44.94,40.03,159.49,235.112,5756,1282.872,29.8,13.5,5.3,51.5
9/29/2014,214.6,1951,28.48,20.83,147.38,255.52,6215,599.07,9.8,41,33.8,15.4
9/30/2014,216.6,1707,247.58,51.17,207.65,369,8823,600.41,19.7,23.1,43.6,13.5
10/1/2014,214.6,2631,80.41,80.35,382.25,229.968,5669,-106.282,11.3,16.9,65,6.8
10/2/2014,217.4,1266,34.34,55.79,173.91,388.281,9526,1435.571,15.1,35.2,49.7,0
10/3/2014,215.4,1177,48.14,59.96,115.06,89,2153,1122.74,16.2,37.8,46,0
10/4/2014,215,3000,0,0,0,641.181,15004,-58.769,40,0,60,0
10/5/2014,214.6,1684,22.05,10.57,67.68,564.239,13286,1180.789,71.3,0,28.7,0
10/6/2014,214.6,1280,52.27,51.66,139.21,281.072,6504,1296.022,18.1,50.7,15.6,15.6
10/7/2014,214.4,2488,78.33,54.23,378.7,281.072,7180,86.122,12.4,9.8,20.6,57.1
10/8/2014,214.8,1816,30.79,39.94,349.15,255.758,5893,734.678,10.5,24.5,11.4,53.6
10/9/2014,213.6,1736,36.28,36.1,312.31,255.758,6069,808.308,17.8,12.4,47.9,22
10/10/2014,212.6,1876,45.31,62.91,269.26,278.452,7044,683.102,16.4,23.7,27.6,32.2
10/11/2014,213,1840,34.18,66.54,297.87,25.3853,410,468.8453,19,0,52.2,28.8
10/12/2014,213.2,1450,50.56,65.92,181.47,25.3853,583,860.6553,5.5,0,52.8,41.7
10/13/2014,213,1229,43.91,31.86,157.02,101.446,2545,1157.246,26.3,55.8,18,0
10/14/2014,212.4,1779,25.45,40.16,217.73,276.881,7057,778.641,18.9,49.2,20.7,11.2
10/15/2014,211.4,1210,21.72,29.94,216.72,276.881,6854,1339.171,25.5,17.7,3.3,53.4
10/16/2014,210.4,1264,29.3,29.41,223.81,225.467,5706,1227.807,21.2,19.4,0,59.4
10/17/2014,209.6,1200,36.44,34.68,177.14,274.523,6972,1335.623,22.4,18.7,41.1,17.8
10/18/2014,208.8,1383,17.11,82.33,208.99,24.8852,530,898.2552,19.4,21.3,54.8,4.5
10/19/2014,209,1172,21.71,37.34,171.55,24.8852,464,1110.3552,42.6,0,18.3,39
10/20/2014,209,1584,14.85,19.17,178.42,298.623,7522,972.413,21.9,37.9,28.5,16.7
10/21/2014,209.6,1203,24.94,28.17,214.05,249.567,6279,1308.397,15.9,20.4,36.6,27.2
10/22/2014,208.4,1269,22.1,25,182.37,198.51,5152,1182.28,18.2,22.5,37.8,21.5
10/23/2014,207.6,1125,25.17,28.9,193.41,197.748,4938,1321.198,21.9,22.6,3.6,49.9
10/24/2014,207.4,1760,48.52,91.66,246.17,222.252,5501,708.502,15.3,13.9,49.1,21.8
10/25/2014,207.6,1498,53.64,27.84,216.14,18,471,749.8,17.9,29.4,27.4,25.4
10/26/2014,206.8,1437,57.47,26.28,213.69,19,488,806.02,8.2,28.5,18.1,45.2
10/27/2014,207.6,2585,97.37,58.76,382.67,231,5792,-336.73,4.5,33.2,9.3,53
10/28/2014,210.6,1342,34.18,39.02,236.98,204,5138,926.61,3.9,26.8,42.5,26.8
10/29/2014,210,1823,104.43,58.81,155.25,196,4926,441.16,10.5,39.1,12.1,38.4
10/30/2014,208.4,2789,101.45,38.28,439.41,240,6012,-533.94,6.1,9,65.3,19.7
10/31/2014,207.2,1359,39.3,75.92,138.8,238,5965,887.55,12.4,49.3,35.3,2.9
11/1/2014,206.4,3825,82.97,94.9,369.42,55,1401,-1585.21,7,22,71,0
11/2/2014,208.4,2085,35.3,104.12,303.47,5,147,167.7,22,11.8,66.2,0
11/3/2014,209.6,1358,32.02,37.05,200.02,256,6434,903.08,22.7,15.8,39.9,21.5
11/4/2014,206.6,1374,39.84,43.83,171.72,240,6036,868.14,19.6,15.6,8.9,55.9
11/5/2014,205.8,1598,44.35,43.46,227.01,185,4654,638.75,16.8,38.8,40.5,3.9
11/6/2014,204.4,893,24.03,39.13,85.38,198,5027,1333.75,34.5,43.1,22.4,0
11/7/2014,204,926,27.54,34.12,105.66,229,5837,1298.88,20.6,44.8,34.5,0
11/8/2014,203.4,4264,231.22,59.17,380.52,80,2052,-2043.2,4.5,41.3,49.7,4.5
11/9/2014,207.6,971,19.91,35.51,128.68,1,37,1276.494,27.6,49.1,4.1,19.1
11/10/2014,206.8,1732,45.74,87.69,168.48,164,4204,511.07,15.5,41.6,29.6,13.3
11/11/2014,205.6,1556,58.46,39.55,210.9,208,5347,678.89,19.8,11.1,53.9,15.2
